postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,4,116,10.5,0,1,30/09/2020,01/10/2020
3001,0,0,0,0,0,0,30/09/2020,01/10/2020
3002,4957,0,15,0,0,0,30/09/2020,01/10/2020
3003,5516,0,40,0,0,0,30/09/2020,01/10/2020
3004,9311,0,67,0,0,0,30/09/2020,01/10/2020
3005,523,0,0,0,0,0,30/09/2020,01/10/2020
3006,18811,0,65,0,0,0,30/09/2020,01/10/2020
3008,10438,0,48,0,0,0,30/09/2020,01/10/2020
3010,1595,0,0,0,0,0,30/09/2020,01/10/2020
3011,21464,4,169,18.6,0,1,30/09/2020,01/10/2020
3012,26295,2,154,7.6,0,1,30/09/2020,01/10/2020
3013,14967,1,95,6.7,0,1,30/09/2020,01/10/2020
3015,17472,2,63,11.4,0,1,30/09/2020,01/10/2020
3016,15558,1,44,6.4,0,1,30/09/2020,01/10/2020
3018,12685,0,36,0,0,0,30/09/2020,01/10/2020
3019,9199,4,135,43.5,2,2,30/09/2020,01/10/2020
3020,44784,8,477,17.9,0,1,30/09/2020,01/10/2020
3021,54190,11,632,20.3,0,2,30/09/2020,01/10/2020
3022,3102,0,87,0,0,0,30/09/2020,01/10/2020
3023,63974,6,515,9.4,0,1,30/09/2020,01/10/2020
3024,23852,3,239,12.6,0,1,30/09/2020,01/10/2020
3025,12155,5,174,41.1,0,2,30/09/2020,01/10/2020
3026,72,2,102,2777.8,0,7,30/09/2020,01/10/2020
3027,6650,1,65,15,0,1,30/09/2020,01/10/2020
3028,29198,4,155,13.7,0,1,30/09/2020,01/10/2020
3029,93946,17,1256,18.1,1,1,30/09/2020,01/10/2020
3030,100311,23,703,22.9,0,2,30/09/2020,01/10/2020
3031,18533,0,350,0,0,0,30/09/2020,01/10/2020
3032,29449,2,194,6.8,0,1,30/09/2020,01/10/2020
3033,14512,8,59,55.1,0,3,30/09/2020,01/10/2020
3034,11633,11,100,94.6,0,3,30/09/2020,01/10/2020
3036,5921,0,21,0,0,0,30/09/2020,01/10/2020
3037,51156,7,449,13.7,0,1,30/09/2020,01/10/2020
3038,27258,18,140,66,0,3,30/09/2020,01/10/2020
3039,14252,0,82,0,0,0,30/09/2020,01/10/2020
3040,25939,6,122,23.1,0,2,30/09/2020,01/10/2020
3041,12412,3,50,24.2,0,2,30/09/2020,01/10/2020
3042,15762,2,64,12.7,0,1,30/09/2020,01/10/2020
3043,17715,0,69,0,0,0,30/09/2020,01/10/2020
3044,27116,1,168,3.7,0,1,30/09/2020,01/10/2020
3045,100,0,0,0,0,0,30/09/2020,01/10/2020
3046,34061,8,298,23.5,0,2,30/09/2020,01/10/2020
3047,20901,1,209,4.8,0,1,30/09/2020,01/10/2020
