,postcode,Postal_Town,population,active,cases,rate,data_date
0,3000,MELBOURNE,37979.0,4,116,10.5,30/09/2020
1,3000,MELBOURNE,37979.0,4,116,10.5,30/09/2020
2,3000,MELBOURNE,37979.0,4,116,10.5,30/09/2020
3,3003,WEST MELBOURNE,5516.0,0,40,0.0,30/09/2020
4,3004,MELBOURNE,9311.0,0,67,0.0,30/09/2020
5,3004,MELBOURNE,9311.0,0,67,0.0,30/09/2020
6,3004,MELBOURNE,9311.0,0,67,0.0,30/09/2020
7,3006,Southbank,18811.0,0,65,0.0,30/09/2020
8,3006,SOUTHBANK,18811.0,0,65,0.0,30/09/2020
9,3011,Footscray,21464.0,4,169,18.6,30/09/2020
10,3011,FOOTSCRAY,21464.0,4,169,18.6,30/09/2020
11,3011,FOOTSCRAY,21464.0,4,169,18.6,30/09/2020
12,3011,FOOTSCRAY,21464.0,4,169,18.6,30/09/2020
13,3011,FOOTSCRAY,21464.0,4,169,18.6,30/09/2020
14,3012,WEST FOOTSCRAY,26295.0,2,154,7.6,30/09/2020
15,3012,WEST FOOTSCRAY,26295.0,2,154,7.6,30/09/2020
16,3012,WEST FOOTSCRAY,26295.0,2,154,7.6,30/09/2020
17,3012,KINGSVILLE,26295.0,2,154,7.6,30/09/2020
18,3012,WEST FOOTSCRAY,26295.0,2,154,7.6,30/09/2020
19,3012,KINGSVILLE,26295.0,2,154,7.6,30/09/2020
20,3013,YARRAVILLE,14967.0,1,95,6.7,30/09/2020
21,3013,YARRAVILLE,14967.0,1,95,6.7,30/09/2020
22,3013,YARRAVILLE,14967.0,1,95,6.7,30/09/2020
23,3013,YARRAVILLE,14967.0,1,95,6.7,30/09/2020
24,3015,NEWPORT,17472.0,2,63,11.4,30/09/2020
25,3015,Spotswood,17472.0,2,63,11.4,30/09/2020
26,3015,NEWPORT,17472.0,2,63,11.4,30/09/2020
27,3015,NEWPORT,17472.0,2,63,11.4,30/09/2020
28,3015,SPOTSWOOD,17472.0,2,63,11.4,30/09/2020
29,3016,WILLIAMSTOWN,15558.0,1,44,6.4,30/09/2020
30,3016,WILLIAMSTOWN NORTH,15558.0,1,44,6.4,30/09/2020
31,3016,WILLIAMSTOWN,15558.0,1,44,6.4,30/09/2020
32,3016,WILLIAMSTOWN,15558.0,1,44,6.4,30/09/2020
33,3016,WILLIAMSTOWN,15558.0,1,44,6.4,30/09/2020
34,3018,ALTONA,12685.0,0,36,0.0,30/09/2020
35,3018,ALTONA,12685.0,0,36,0.0,30/09/2020
36,3018,Altona,12685.0,0,36,0.0,30/09/2020
37,3018,ALTONA,12685.0,0,36,0.0,30/09/2020
38,3019,BRAYBROOK,9199.0,4,135,43.5,30/09/2020
39,3019,BRAYBROOK,9199.0,4,135,43.5,30/09/2020
40,3019,ROBINSON,9199.0,4,135,43.5,30/09/2020
41,3019,BRAYBROOK,9199.0,4,135,43.5,30/09/2020
42,3019,BRAYBROOK,9199.0,4,135,43.5,30/09/2020
43,3020,SUNSHINE,44784.0,8,477,17.9,30/09/2020
44,3020,ALBION,44784.0,8,477,17.9,30/09/2020
45,3020,SUNSHINE,44784.0,8,477,17.9,30/09/2020
46,3020,SUNSHINE NORTH,44784.0,8,477,17.9,30/09/2020
47,3020,SUNSHINE NORTH,44784.0,8,477,17.9,30/09/2020
48,3020,SUNSHINE WEST,44784.0,8,477,17.9,30/09/2020
49,3020,SUNSHINE WEST,44784.0,8,477,17.9,30/09/2020
50,3020,SUNSHINE NORTH,44784.0,8,477,17.9,30/09/2020
51,3020,SUNSHINE,44784.0,8,477,17.9,30/09/2020
52,3020,Sunshine,44784.0,8,477,17.9,30/09/2020
53,3020,SUNSHINE,44784.0,8,477,17.9,30/09/2020
54,3020,SUNSHINE,44784.0,8,477,17.9,30/09/2020
55,3020,ALBION,44784.0,8,477,17.9,30/09/2020
56,3020,SUNSHINE WEST,44784.0,8,477,17.9,30/09/2020
57,3020,SUNSHINE NORTH,44784.0,8,477,17.9,30/09/2020
58,3020,SUNSHINE WEST,44784.0,8,477,17.9,30/09/2020
59,3020,SUNSHINE SOUTH WEST,44784.0,8,477,17.9,30/09/2020
60,3020,SUNSHINE,44784.0,8,477,17.9,30/09/2020
61,3021,ST ALBANS,54190.0,11,632,20.3,30/09/2020
62,3021,ST ALBANS,54190.0,11,632,20.3,30/09/2020
63,3021,ST ALBANS,54190.0,11,632,20.3,30/09/2020
64,3021,ST ALBANS,54190.0,11,632,20.3,30/09/2020
65,3021,ST ALBANS,54190.0,11,632,20.3,30/09/2020
66,3021,ST ALBANS,54190.0,11,632,20.3,30/09/2020
67,3021,ST ALBANS,54190.0,11,632,20.3,30/09/2020
