LGA_Name,Percent change in house price,Total Sales
Banyule,-11.610266218766775,2285
Bayside,11.899378576135156,2095
Boroondara,-6.21379315568098,2388
Brimbank,1.0936867742512235,2251
Cardinia,-1.474852390686865,2173
Casey,3.280063571679992,5044
Darebin,-5.9315829552959,2699
Frankston,-3.3327058411427024,2939
Glen,-14.23833906396098,2552
Greater,-2.1252326806340927,2507
Hobsons,0.9725617785394491,2347
Hume,-3.8488493638112464,3986
Kingston,-10.48310988415545,2909
Knox,4.7183277983880885,2520
Manningham,-3.9986144134280366,1845
Maribyrnong,0.41194377454921716,1243
Maroondah,1.2214072251695907,1864
Melbourne,-5.434380327410382,3461
Melton,3.1407184581605407,1768
Monash,6.188759195459159,2370
Moonee,-6.223026446620761,1894
Moreland,-5.352871629024669,2814
Mornington,3.1432016872689927,3464
Nillumbik,-7.10287069941039,1742
Port,-1.0737039575125285,3250
Stonnington,18.775693646137704,1746
Whitehorse,-10.878943953765308,3067
Whittlesea,-4.102610554692299,3659
Wyndham,-1.8214266280488278,3792
Yarra,-6.507968396923625,4106
