,date_sold,price,suburb,city_name,state,lat,lon,bedrooms,property_type,loc_pid,lga_pid,LGA_Name
80882,2020-02-01,485000.0,Melbourne,Melbourne,VIC,-37.81713736,144.96012099,1,unit,VIC1634,VIC107,Melbourne
80883,2020-02-01,485000.0,Melbourne,Melbourne,VIC,-37.81713736,144.96012099,1,unit,VIC1634,VIC107,Port
80884,2020-02-01,446500.0,Melbourne,Melbourne,VIC,-37.8094278,144.96183349999998,1,unit,VIC1634,VIC107,Melbourne
80885,2020-02-01,446500.0,Melbourne,Melbourne,VIC,-37.8094278,144.96183349999998,1,unit,VIC1634,VIC107,Port
80886,2020-02-01,420000.0,Clayton,Melbourne,VIC,-37.913156,145.124122,2,unit,VIC567,VIC104,Monash
80887,2020-02-01,750000.0,Mitcham,Melbourne,VIC,-37.807269399999996,145.19999140000002,3,unit,VIC1700,VIC136,Whitehorse
80888,2020-02-01,400000.0,Reservoir,Melbourne,VIC,-37.69553753,145.01212323,2,unit,VIC2158,VIC170,Darebin
80889,2020-02-01,890000.0,Mornington,Melbourne,VIC,-38.232934,145.03805400000002,3,house,VIC1757,VIC125,Mornington
80890,2020-02-01,360000.0,Springvale,Melbourne,VIC,-37.93460859,145.16719297,2,unit,VIC2333,VIC91,Greater
80891,2020-02-01,1000000.0,Oakleigh South,Melbourne,VIC,-37.927459000000006,145.08276899999998,4,house,VIC1998,VIC98,Monash
80892,2020-02-01,675000.0,Doreen,Melbourne,VIC,-37.60423485,145.11101186,4,house,VIC774,VIC114,Nillumbik
80893,2020-02-01,675000.0,Doreen,Melbourne,VIC,-37.60423485,145.11101186,4,house,VIC774,VIC114,Whittlesea
80894,2020-02-01,575000.0,Craigieburn,Melbourne,VIC,-37.607788,144.930977,4,house,VIC660,VIC96,Hume
80895,2020-02-01,675000.0,Keysborough,Melbourne,VIC,-38.002381299999996,145.16453333,3,townhouse,VIC1334,VIC91,Greater
80896,2020-02-01,1038000.0,Vermont,Melbourne,VIC,-37.835,145.211773,4,house,VIC2630,VIC136,Knox
80897,2020-02-01,525000.0,Hastings,Melbourne,VIC,-38.301309,145.176365,3,house,VIC1136,VIC125,Mornington
80898,2020-02-01,752333.0,Dandenong North,Melbourne,VIC,-37.945704,145.21658,3,house,VIC706,VIC91,Greater
80899,2020-02-01,320000.0,Melton,Melbourne,VIC,-37.69088862,144.58820837,2,house,VIC1636,VIC176,Melton
80900,2020-02-01,610000.0,Dandenong North,Melbourne,VIC,-37.959813,145.21278999999998,3,house,VIC706,VIC91,Greater
80901,2020-02-01,570000.0,Point Cook,Melbourne,VIC,-37.89402198,144.70979647,4,house,VIC2082,VIC95,Wyndham
