LGA_Name,Percent change in house price,Total Sales
Maribyrnong,21.461915196102943,1243
Mornington,11.223345977999976,3464
Greater,5.463209375625134,2507
Bayside,3.563037999693097,2095
Melbourne,2.9273597642172966,3461
Nillumbik,2.7203449926756162,1742
Frankston,2.2812835190515246,2939
Hume,1.0384376385510041,3986
Darebin,0.9811073645491275,2699
Yarra,0.8565903395239105,4106
Wyndham,0.712697444194299,3792
Casey,0.464405390554512,5044
Port,-0.37304836848626177,3250
Moreland,-1.5529441096223895,2814
Moonee,-2.0214831739884365,1894
Melton,-2.051029611295052,1768
Whittlesea,-2.0575880692136006,3659
Brimbank,-2.3682109873766732,2251
Banyule,-3.8464298066893776,2285
Knox,-4.062926765697295,2520
Kingston,-6.199962867874909,2909
Maroondah,-6.820385533060791,1864
Monash,-9.940975488343984,2370
Cardinia,-10.16710235013596,2173
Hobsons,-10.270016420044481,2347
Manningham,-14.261825278173767,1845
Whitehorse,-14.587468253674828,3067
Glen,-18.73296122908633,2552
Boroondara,-20.988353479425736,2388
Stonnington,-23.047611482814144,1746
