Postcode,Suburb
3971,Alberton
3277,Allansford
3467,Avoca
3664,Avenel
3113,Warrandyte
3216,Belmont
3340,Bacchus marsh
3350,Ballarat
3689,Wodonga
3806,Berwick
3373,Beaufort
3192,Cheltenham
3265,Cudgee
3015,Newport
3314,Cavendish
3250,Colac
3450,Castlemaine
3451,Campbells creek
3363,Creswick
3556,California gully
3761,St andrews
3280,Warrnambool
3936,Dromana
3108,"Westfield, doncaster"
3564,Echuca
3095,Eltham
3556,Eaglehawk
3448,Elphinstone
3803,Hallam
3031,Flemington
3012,West footscray
3437,Gisborne
3191,Sandringham
3741,Bright
3216,Grovedale
3122,Hawthorn
3084,Heidelberg
3300,Hamilton
3523,Heathcote
3216,Highton
3551,Huntly
3228,Bellbrae
3683,Chiltern
3444,Kyneton
3434,Romsey
3329,Shelford
3551,Lockwood south
3515,Marong
3441,Mount macedon
3350,Mount clear
3337,Melton
3065,Fitzroy
3462,Newstead
3364,Newlyn
3150,Glen waverley
3438,New gisborne
3251,Beeac
3040,Essendon
3058,Coburg
3289,Penshurst
3341,Myrniong
3754,Mernda
3305,Portland
3380,Stawell
3685,Rutherglen
3431,Riddells creek
3330,Rokewood
3219,Geelong east
3850,Sale
3361,Skipton
3141,South yarra
3862,Stratford
3447,Taradale
3282,Koroit
3444,Tylden
3074,Thomastown
3676,Wangaratta
3687,Wahgunyah
3442,Woodend
3281,Woodford
3030,Werribee
3747,Beechworth
3756,Wallan
3276,Woolsthorpe
3461,Yandoit
3971,Yarram
3350,Lake wendouree
3717,Yea
3435,Lancefield
3340,Coimadai
3242,Birregurra
3168,Clayton
3678,Milawa
3551,Lockwood
3475,Bealiba
3875,Bairnsdale
3345,Gordon
3461,Hepburn
3212,Lara lake
3847,Rosedale
3561,Rochester
3377,Ararat
3723,Jamieson
3072,Preston
3898,Omeo
3741,Harrietville
3195,Mordialloc
3777,Healesville
3351,Lake bolac
3856,Toongabbie
3352,Waubra
3374,Great western
3860,Maffra
3673,Broken creek
3352,Lal lal
3266,Cobden
3223,St leonards
3140,Lilydale
3552,Bendigo
3756,Darraweit guim
3360,Linton
3352,Invermay
3701,Mitta mitta
3124,Camberwell
3059,Greenvale
3714,Alexandra
3331,Bannockburn
3754,Doreen
3371,Talbot
3775,Yarra glen
3469,Elmhurst
3555,Kangaroo flat
3049,Westmeadows
3429,Sunbury
3089,Diamond creek
3551,Axedale
3133,Vermont
3551,Tarnagulla
3103,Balwyn
3179,Scoresby
3464,Carisbrook
3139,Wandin north
3770,Coldstream
3304,Dartmoor
3064,Mickleham
3517,Inglewood
3451,Chewton
3432,Bolinda
3352,Napoleons
3101,Kew
3351,Haddon
3265,Panmure
3943,Sorrento
3350,Alfredton
3516,Bridgewater
3915,Hastings
3749,Yackandandah
3608,Nagambie
3858,Heyfield
3189,Moorabbin
3724,Mansfield
3688,Indigo valley
3860,Briagolong
3865,Lindenow
3658,Broadford
3610,Murchison
3759,Panton hill
3352,Glen park
3384,Concongella
3885,Bruthen
3585,Swan hill
3740,Porepunkah
3224,Leopold
3321,Inverleigh
3146,Glen iris
3373,Trawalla
3554,Bendigo dc
3356,Sebastopol
3874,Woodside
3265,Noorat
3206,Albert park
3016,Williamstown
3941,Rye
3225,Queenscliff
3305,Portland north
3465,Timor
3319,Apsley
3551,Strathfieldsaye
3201,Carrum downs
3522,Tooborac
3054,Carlton north
3463,Maldon
3139,Woori yallock
3377,Moyston
3357,Buninyong
3779,Marysville
3444,Langley
3758,Wandong
3922,Cowes
3461,Bullarto
3324,Lismore
3093,Lower plenty
3555,Golden square
3305,Bolwarra
3384,Navarre
3393,Warracknabeal
3732,Moyhu
3465,Natte yallock
3068,Clifton hill
3775,Christmas hills
3700,Tallangatta
3631,Kialla
3930,Mount eliza
3925,San remo
3414,Dimboola
3735,Whorouly
3723,Merrijig
3332,Lethbridge
3678,Oxley
3070,Northcote
3051,North melbourne
3175,Dandenong
3446,Malmsbury
3016,Williamstown north
3579,Kerang
3818,Drouin
3333,Meredith
3678,Edi upper
3629,Mooroopna
3023,Cairnlea
3342,Ballan
3616,Tatura
3614,Toolamba
3691,Osbornes flat
3199,Frankston east lpo
3480,Donald
3753,Beveridge
3182,St kilda
3351,Cape clear
3799,Warburton
3659,Tallarook
3688,Barnawartha
3068,Fitzroy north
3218,Geelong west
3980,Tooradin
3558,Elmore
3646,Dookie
3186,Brighton
3409,Natimuk
3390,Murtoa
3555,Big hill
3370,Clunes
3387,Marnoo
3629,Ardmona
3764,Kilmore
3286,Macarthur
3227,Barwon heads
3036,Keilor
3472,Dunolly
3682,Springhurst
3775,Dixons creek
3458,Trentham
3352,Warrenheip
3551,Maiden gully
3388,Rupanyup
3557,Goornong
3166,Oakleigh
