,index,month_sold,lga_pid,suburb,price
0,0,02,VIC104,Clayton,940000.0
1,1,02,VIC104,Clayton,420000.0
2,2,02,VIC104,Chadstone,1233000.0
3,3,02,VIC106,Yarrambat,1320000.0
4,4,02,VIC106,Eltham,745000.0
5,5,02,VIC107,Southbank,492000.0
6,6,02,VIC107,Southbank,540000.0
7,7,02,VIC107,Melbourne,485000.0
8,8,02,VIC107,Melbourne,485000.0
9,9,02,VIC107,Melbourne,446500.0
10,10,02,VIC107,Melbourne,446500.0
11,11,02,VIC114,Doreen,675000.0
12,12,02,VIC114,Wollert,599000.0
13,13,02,VIC114,Whittlesea,530000.0
14,14,02,VIC114,Wollert,700000.0
15,15,02,VIC114,Bundoora,269999.0
16,16,02,VIC114,Mernda,600000.0
17,17,02,VIC114,Bundoora,951000.0
18,18,02,VIC114,Bundoora,830000.0
19,19,02,VIC114,Thomastown,600000.0
20,20,02,VIC114,Epping,468000.0
21,21,02,VIC116,Beaumaris,450000.0
22,22,02,VIC121,Flemington,342500.0
23,23,02,VIC125,Sorrento,1675000.0
24,24,02,VIC125,Rosebud,525000.0
25,25,02,VIC125,Dromana,625000.0
26,26,02,VIC125,Mornington,890000.0
27,27,02,VIC125,Rye,805000.0
28,28,02,VIC125,Rye,530000.0
29,29,02,VIC125,Hastings,525000.0
30,30,02,VIC125,Mornington,690000.0
31,31,02,VIC125,Rosebud,495000.0
32,32,02,VIC127,Harkaway,1855000.0
33,33,02,VIC127,Hallam,515000.0
34,34,02,VIC127,Doveton,520000.0
35,35,02,VIC127,Cranbourne,400000.0
36,36,02,VIC128,Rowville,780000.0
37,37,02,VIC128,Wantirna,985000.0
38,38,02,VIC128,Boronia,790000.0
39,39,02,VIC129,Kilsyth,865000.0
40,40,02,VIC129,Kilsyth,770000.0
41,41,02,VIC136,Mitcham,715000.0
42,42,02,VIC136,Nunawading,1188000.0
43,43,02,VIC136,Blackburn,375000.0
44,44,02,VIC136,Mitcham,515000.0
45,45,02,VIC136,Vermont,1038000.0
46,46,02,VIC136,Mitcham,750000.0
47,47,02,VIC139,Croydon,594000.0
48,48,02,VIC139,Croydon,705000.0
49,49,02,VIC139,Croydon,760000.0
50,50,02,VIC139,Warranwood,886000.0
51,51,02,VIC161,Officer,725000.0
52,52,02,VIC161,Beaconsfield,410000.0
53,53,02,VIC165,Watsonia,747000.0
54,54,02,VIC167,Kew,2510000.0
55,55,02,VIC167,Kew,620000.0
56,56,02,VIC170,Reservoir,760000.0
57,57,02,VIC170,Reservoir,790000.0
58,58,02,VIC170,Reservoir,400000.0
59,59,02,VIC176,Hillside,740000.0
60,60,02,VIC176,Melton,320000.0
61,61,02,VIC176,Hillside,435000.0
62,62,02,VIC88,Frankston,476000.0
63,63,02,VIC88,Seaford,749000.0
64,64,02,VIC91,Keysborough,675000.0
65,65,02,VIC91,Dandenong,630000.0
