Suburb,LGA_Name
Alberton,Wellington
Allansford,Warrnambool
Avoca,Pyrenees
Avenel,Strathbogie
Warrandyte,Manningham
Belmont,Greater
Bacchus Marsh,Moorabool
Ballarat,Ballarat
Wodonga,Wodonga
Berwick,Casey
Beaufort,Pyrenees
Cheltenham,Bayside
Cudgee,Moyne
Newport,Hobsons
Cavendish,Southern
Colac,Colac-Otway
Castlemaine,Mount
Campbells Creek,Mount
Creswick,Hepburn
California Gully,Greater
St Andrews,Nillumbik
Warrnambool,Warrnambool
Dromana,Mornington
"Westfield, Doncaster",Manningham
Echuca,Campaspe
Eltham,Nillumbik
Eaglehawk,Greater
Elphinstone,Mount
Hallam,Casey
Flemington,Moonee
West Footscray,Maribyrnong
Gisborne,Macedon
Sandringham,Bayside
Bright,Alpine
Grovedale,Greater
Hawthorn,Boroondara
Heidelberg,Banyule
Hamilton,Southern
Heathcote,Greater
Highton,Greater
Huntly,Greater
Bellbrae,Surf
Chiltern,Indigo
Kyneton,Macedon
Romsey,Macedon
Shelford,Golden
Lockwood South,Greater
Marong,Greater
Mount Macedon,Macedon
Mount Clear,Ballarat
Melton,Melton
Fitzroy,Yarra
Newstead,Mount
Newlyn,Hepburn
Glen Waverley,Whitehorse
New Gisborne,Macedon
Beeac,Colac-Otway
Essendon,Moonee
Coburg,Moreland
Penshurst,Southern
Myrniong,Moorabool
Mernda,Whittlesea
Portland,Glenelg
Stawell,Northern
Rutherglen,Indigo
Riddells Creek,Macedon
Rokewood,Golden
Geelong East,Greater
Sale,Wellington
Skipton,Corangamite
South Yarra,Melbourne
Stratford,Wellington
Taradale,Mount
Koroit,Moyne
Tylden,Macedon
Thomastown,Whittlesea
Wangaratta,Wangaratta
Wahgunyah,Indigo
Woodend,Macedon
Woodford,Warrnambool
Werribee,Wyndham
Beechworth,Indigo
Wallan,Mitchell
Woolsthorpe,Moyne
Yandoit,Hepburn
Yarram,Wellington
Lake Wendouree,Ballarat
Yea,Murrindindi
Lancefield,Macedon
Coimadai,Moorabool
Birregurra,Colac-Otway
Clayton,Monash
Milawa,Wangaratta
Lockwood,Greater
Bealiba,Central
Bairnsdale,East
Gordon,Moorabool
