Suburb,Postcode,LGA_ID,LGA_Name
Alberton,3971,681,Wellington
Allansford,3277,673,Warrnambool
Avoca,3467,599,Pyrenees
Avenel,3664,643,Strathbogie
Warrandyte,3113,421,Manningham
Belmont,3216,275,Greater
Bacchus Marsh,3340,515,Moorabool
Ballarat,3350,57,Ballarat
Wodonga,3689,717,Wodonga
Berwick,3806,161,Casey
Beaufort,3373,599,Pyrenees
Cheltenham,3192,91,Bayside
Cudgee,3265,549,Moyne
Newport,3015,311,Hobsons
Cavendish,3314,626,Southern
Colac,3250,175,Colac-Otway
Castlemaine,3450,543,Mount
Campbells Creek,3451,543,Mount
Creswick,3363,291,Hepburn
California Gully,3556,262,Greater
St Andrews,3761,571,Nillumbik
Warrnambool,3280,673,Warrnambool
Dromana,3936,534,Mornington
"Westfield, Doncaster",3108,421,Manningham
Echuca,3564,137,Campaspe
Eltham,3095,571,Nillumbik
Eaglehawk,3556,262,Greater
Elphinstone,3448,543,Mount
Hallam,3803,161,Casey
Flemington,3031,506,Moonee
West Footscray,3012,433,Maribyrnong
Gisborne,3437,413,Macedon
Sandringham,3191,91,Bayside
Bright,3741,11,Alpine
Grovedale,3216,275,Greater
Hawthorn,3122,111,Boroondara
Heidelberg,3084,66,Banyule
Hamilton,3300,626,Southern
Heathcote,3523,262,Greater
Highton,3216,275,Greater
Huntly,3551,262,Greater
Bellbrae,3228,649,Surf
Chiltern,3683,335,Indigo
Kyneton,3444,413,Macedon
Romsey,3434,413,Macedon
Shelford,3329,249,Golden
Lockwood South,3551,262,Greater
Marong,3515,262,Greater
Mount Macedon,3441,413,Macedon
Mount Clear,3350,57,Ballarat
Melton,3337,465,Melton
Fitzroy,3065,735,Yarra
Newstead,3462,543,Mount
Newlyn,3364,291,Hepburn
Glen Waverley,3150,698,Whitehorse
New Gisborne,3438,413,Macedon
Beeac,3251,175,Colac-Otway
Essendon,3040,506,Moonee
Coburg,3058,525,Moreland
Penshurst,3289,626,Southern
Myrniong,3341,515,Moorabool
Mernda,3754,707,Whittlesea
Portland,3305,241,Glenelg
Stawell,3380,581,Northern
Rutherglen,3685,335,Indigo
Riddells Creek,3431,413,Macedon
Rokewood,3330,249,Golden
Geelong East,3219,275,Greater
Sale,3850,681,Wellington
Skipton,3361,183,Corangamite
South Yarra,3141,460,Melbourne
Stratford,3862,681,Wellington
Taradale,3447,543,Mount
Koroit,3282,549,Moyne
Tylden,3444,413,Macedon
