Postcode,Postal_Town
3971,ALBERTON
3277,ALLANSFORD
3467,AVOCA
3664,AVENEL
3113,WARRANDYTE
3216,BELMONT
3340,Bacchus Marsh
3350,BALLARAT
3689,WODONGA
3806,Berwick
3373,BEAUFORT
3192,CHELTENHAM
3265,CUDGEE
3015,NEWPORT
3314,CAVENDISH
3250,COLAC
3450,CASTLEMAINE
3451,CAMPBELLS CREEK
3363,CRESWICK
3556,CALIFORNIA GULLY
3761,ST ANDREWS
3280,WARRNAMBOOL
3936,DROMANA
3108,"Westfield, Doncaster"
3564,ECHUCA
3095,ELTHAM
3556,EAGLEHAWK
3448,ELPHINSTONE
3803,HALLAM
3031,FLEMINGTON
3012,WEST FOOTSCRAY
3437,GISBORNE
3191,SANDRINGHAM
3741,BRIGHT
3216,GROVEDALE
3122,HAWTHORN
3084,HEIDELBERG
3300,HAMILTON
3523,HEATHCOTE
3216,HIGHTON
3551,HUNTLY
3228,BELLBRAE
3683,CHILTERN
3444,KYNETON
3434,ROMSEY
3329,SHELFORD
3551,LOCKWOOD SOUTH
3515,MARONG
3441,MOUNT MACEDON
3350,MOUNT CLEAR
3337,MELTON
3065,FITZROY
3462,NEWSTEAD
3364,NEWLYN
3150,GLEN WAVERLEY
3438,NEW GISBORNE
3251,BEEAC
3040,ESSENDON
3058,COBURG
3289,PENSHURST
3341,MYRNIONG
3754,MERNDA
3305,PORTLAND
3380,STAWELL
3685,RUTHERGLEN
3431,RIDDELLS CREEK
3330,ROKEWOOD
3219,GEELONG EAST
3850,SALE
3361,SKIPTON
3141,SOUTH YARRA
3862,STRATFORD
3447,TARADALE
3282,KOROIT
3444,TYLDEN
3074,THOMASTOWN
3676,WANGARATTA
3687,WAHGUNYAH
3442,WOODEND
3281,WOODFORD
3030,WERRIBEE
3747,Beechworth
3756,WALLAN
3276,WOOLSTHORPE
3461,Yandoit
3971,YARRAM
3350,LAKE WENDOUREE
3717,YEA
3435,LANCEFIELD
3340,COIMADAI
3242,BIRREGURRA
3168,CLAYTON
3678,MILAWA
3551,LOCKWOOD
3475,BEALIBA
3875,BAIRNSDALE
3345,GORDON
3461,HEPBURN
3212,LARA LAKE
3847,ROSEDALE
3561,ROCHESTER
3377,ARARAT
3723,JAMIESON
3072,PRESTON
3898,OMEO
3741,HARRIETVILLE
3195,Mordialloc
3777,HEALESVILLE
3351,LAKE BOLAC
3856,TOONGABBIE
3352,WAUBRA
3374,GREAT WESTERN
3860,MAFFRA
3673,Broken Creek
3352,LAL LAL
3266,COBDEN
3223,ST LEONARDS
3140,Lilydale
3552,BENDIGO
3756,DARRAWEIT GUIM
3360,LINTON
3352,INVERMAY
3701,MITTA MITTA
3124,CAMBERWELL
3059,GREENVALE
3714,ALEXANDRA
3331,BANNOCKBURN
3754,DOREEN
3371,TALBOT
3775,Yarra Glen
3469,ELMHURST
3555,KANGAROO FLAT
3049,Westmeadows
3429,SUNBURY
3089,DIAMOND CREEK
3442,Woodend
3551,AXEDALE
3133,VERMONT
3551,TARNAGULLA
3103,BALWYN
3179,SCORESBY
3464,CARISBROOK
3139,WANDIN NORTH
3770,Coldstream
3304,DARTMOOR
3064,MICKLEHAM
3517,INGLEWOOD
3451,CHEWTON
3432,BOLINDA
3352,NAPOLEONS
3101,KEW
3351,HADDON
3265,PANMURE
3943,SORRENTO
3350,ALFREDTON
3516,BRIDGEWATER
3915,HASTINGS
3749,YACKANDANDAH
3608,NAGAMBIE
3858,HEYFIELD
3189,MOORABBIN
3724,MANSFIELD
3688,Indigo Valley
3860,BRIAGOLONG
3865,LINDENOW
3658,BROADFORD
3610,MURCHISON
3759,PANTON HILL
3352,GLEN PARK
3384,CONCONGELLA
3885,BRUTHEN
3585,SWAN HILL
3740,POREPUNKAH
3224,LEOPOLD
3321,INVERLEIGH
3146,GLEN IRIS
3373,TRAWALLA
3554,BENDIGO DC
3356,SEBASTOPOL
3874,WOODSIDE
3265,NOORAT
3206,ALBERT PARK
3016,WILLIAMSTOWN
3941,RYE
3225,QUEENSCLIFF
3305,PORTLAND NORTH
3465,TIMOR
3319,APSLEY
3551,STRATHFIELDSAYE
3201,Carrum Downs
3522,TOOBORAC
3875,Bairnsdale
3756,Wallan
3054,CARLTON NORTH
3463,MALDON
3139,WOORI YALLOCK
3377,Moyston
3357,BUNINYONG
3779,MARYSVILLE
3444,LANGLEY
3758,WANDONG
3922,COWES
3461,BULLARTO
3324,LISMORE
3093,LOWER PLENTY
3555,GOLDEN SQUARE
3305,BOLWARRA
3384,NAVARRE
3393,WARRACKNABEAL
3732,MOYHU
3465,NATTE YALLOCK
3068,CLIFTON HILL
3775,CHRISTMAS HILLS
3700,TALLANGATTA
3631,KIALLA
3930,MOUNT ELIZA
3925,San Remo
